=======================================================================================
AI DATA FILE - Xi'Chung AI Speech - Captain Kwok's Balance Mod v125+
=======================================================================================

Replacement Symbols used:
[%OurEmperorTitle%]       - Our Emperor's Title
[%OurEmperorName%]        - Our Emperor's Name
[%OurEmpireName%]         - Our Empire Name
[%TargetEmperorTitle%]    - Target Emperor's Title (Player who gets message)
[%TargetEmperorName%]     - Target Emperor's Name
[%TargetEmpireName%]      - Target Empire Name
[%OtherEmperorTitle%]     - Other Emperor's Title (Player who this message is talking about, third empire)
[%OtherEmperorName%]      - Other Emperor's Name
[%OtherEmpireName%]       - Other Empire Name
[%TreatyName%]            - Current Treaty
[%ProposedTreatyName%]    - Proposed Treaty Name
[%ProposedAllianceName%]  - Proposed Alliance Name
[%AllianceName%]          - The alliance the sending empire is in.
[%SystemName%]            - Target System
[%SpaceObjectName%]       - Target Space Object (planet, ship, etc)
[%RequestTime%]           - Approximate time to fulfill request
[%RequestDate%]           - Date that request should be completed by
[%ResourceType%]          - Type of resource needed for economic assistance
[%ResourceAmount%]        - Amount of needed resource desired

=======================================================================================
*BEGIN*
=======================================================================================

Send General Message 1                                               := thhp bzk-tk-dzk szt-kzzk-bzk <danger> bzk-krk bzk-tk-dzk szk-kzzk-szk <trespass> szk-kzzk-szk <places> dzk!
Send General Message 2                                               := kzzk-bzk-ktk tk-grk dzk-dzzp-zzp <ugly> tk-grk <[%TargetEmperorName%]> bzk-krk kzkt-szk-tskk.
Send General Message 3                                               := dzk dzk szk-thhp <space rock> tk-grk kzkt-szk-tskk.
Send General Message 4                                               := kzkt-szk-tskk tk-grk bzk-krk <danger> tk <[%TargetEmpireName%]> <intruder> thhp kzzk-dzk-dzzp-bzk bzk-krk bzk-krk.
Send General Message 5                                               := dzk kzkt-szk-tskk thkk-szk-dzzp-krk <[%TargetEmperorName%]> dzk tk-grk. tk-grk tk <destroy> krk-krk <space boat> dzk-thhp-bzzp-krk tk szk-thhp!
Send Declare War 1                                                   := bzk-krk tk-grk dzk-dzzp-zzp bzk-szk-dzzp! dzk-thhp-bzzp-krk kzzk-bzk-ktk <[%TargetEmpireName%]> <war> kzkt-szk-tskk <start> kzzk-bzk-ktk!
Send Declare War 2                                                   := dzk-thhp-bzzp-krk <war> bzk-tk-dzk <starts> bzzp-grk-kzkt tk-grk bzk-krk tk <[%TargetEmpireName%]>!
Send Declare War 3                                                   := szk-thhp tk kzzk-dzk-dzzp-bzk bzk-szk-dzzp thkk-szk-dzzp-krk.
Send Declare War 4                                                   := kzzk-szk <destroy> kzzk-bzk-ktk <[%TargetEmpireName%]> kzzk-dzk-dzzp-bzk <war> bzk-krk szk-kzzk-szk dzk dzk-thhp-bzzp-krk <dead> bzzp-grk-kzkt.
Send Declare War 5                                                   := szk-thhp thkk-szk-dzzp krk <fight> dzk-thhp-bzzp-krk <[%TargetEmpireName%]> szk-thhp dzk <war> tk-grk dzk thhp!
Send Surrender 1                                                        := We surrender to your empire.
Send Surrender 2                                                        := To continue against an insurmountable foe such as you would be folly. We surrender to the [%TargetEmpireName%].
Send Surrender 3                                                        := We do this as a last resort, [%TargetEmperorTitle%] [%TargetEmperorName%]. We wish to join your people.
Send Surrender 4                                                        := To prevent the destruction of our race, we humbly surrender to your forces.
Send Surrender 5                                                        := Though we fall now, we shall rise again.
Send Grant Independence 1                                               := We have granted independence to your colony on [%SpaceObjectName%].
Send Grant Independence 2                                               := Your people on [%SpaceObjectName%] are yours once more, [%TargetEmperorTitle%] [%TargetEmperorName%].
Send Grant Independence 3                                               := We have no need of [%SpaceObjectName%], you may have control back.
Send Grant Independence 4                                               := We grow tired of the constant whining of the people of [%SpaceObjectName%]. They are more trouble than their worth.
Send Grant Independence 5                                               := As you desired [%TargetEmperorTitle%] [%TargetEmperorName%], planet [%SpaceObjectName%] has been returned to your government.
